Model,K,Accuracy,Accuracy_std,Misclassification Rate,Misclassification Rate_std,Precision,Precision_std,Recall,Recall_std,AUC,AUC_std
SVM,Original,0.8414,0.0011,0.1586,0.0011,0.7457,0.0042,0.5510,0.0031,0.8875,0.0019
NN,Original,0.8442,0.0017,0.1558,0.0017,0.7297,0.0052,0.5948,0.0037,0.9011,0.0016
RF,Original,0.8607,0.0024,0.1393,0.0024,0.7759,0.0056,0.6192,0.0057,0.9157,0.0013
SVM,2,0.8405,0.0009,0.1595,0.0009,0.7390,0.0041,0.5555,0.0017,0.8860,0.0020
NN,2,0.8433,0.0016,0.1567,0.0016,0.7384,0.0091,0.5743,0.0100,0.8990,0.0022
RF,2,0.8545,0.0011,0.1455,0.0011,0.7599,0.0038,0.6074,0.0042,0.9100,0.0016
SVM,5,0.8396,0.0012,0.1604,0.0012,0.7367,0.0037,0.5537,0.0033,0.8861,0.0017
NN,5,0.8415,0.0023,0.1585,0.0023,0.7447,0.0076,0.5530,0.0097,0.8987,0.0019
RF,5,0.8529,0.0009,0.1471,0.0009,0.7530,0.0037,0.6087,0.0008,0.9091,0.0010
SVM,10,0.8393,0.0012,0.1607,0.0012,0.7374,0.0024,0.5508,0.0038,0.8839,0.0009
NN,10,0.8412,0.0041,0.1588,0.0041,0.7291,0.0157,0.5770,0.0100,0.8983,0.0020
RF,10,0.8519,0.0008,0.1481,0.0008,0.7519,0.0025,0.6047,0.0030,0.9073,0.0010
SVM,25,0.8382,0.0008,0.1618,0.0008,0.7315,0.0032,0.5533,0.0011,0.8823,0.0026
NN,25,0.8412,0.0004,0.1588,0.0004,0.7293,0.0078,0.5763,0.0111,0.8973,0.0015
RF,25,0.8498,0.0019,0.1502,0.0019,0.7417,0.0064,0.6085,0.0046,0.9059,0.0019
SVM,50,0.8388,0.0006,0.1612,0.0006,0.7356,0.0009,0.5502,0.0038,0.8824,0.0035
NN,50,0.8414,0.0009,0.1586,0.0009,0.7270,0.0043,0.5814,0.0055,0.8975,0.0012
RF,50,0.8494,0.0012,0.1506,0.0012,0.7401,0.0037,0.6092,0.0047,0.9041,0.0016
SVM,100,0.8391,0.0011,0.1609,0.0011,0.7396,0.0036,0.5457,0.0017,0.8772,0.0008
NN,100,0.8405,0.0012,0.1595,0.0012,0.7299,0.0080,0.5710,0.0085,0.8959,0.0017
RF,100,0.8477,0.0007,0.1523,0.0007,0.7332,0.0013,0.6105,0.0043,0.9043,0.0014
